customer_id,churned
4683,True
4514,False
619,True
1995,True
2361,False
1833,False
4395,True
216,True
1938,True
4429,False
5356,False
3564,False
4137,False
1055,True
3649,True
1897,False
2076,False
4799,False
4860,True
4816,True
2636,False
1416,False
4777,False
460,True
4832,True
1791,False
3373,True
1135,True
267,True
1899,False
1933,True
5040,True
2721,True
1521,True
3228,False
4586,False
817,True
769,False
4557,False
5523,True
2181,False
3017,False
3889,True
234,True
1993,True
3839,True
1291,False
1299,False
1,False
2983,False
2407,False
2328,True
4922,False
4632,False
4216,True
1929,False
210,True
671,True
2453,False
4098,False
2577,True
438,True
3438,True
1475,True
2019,True
2353,False
3902,False
1419,False
2408,True
880,True
2612,False
711,True
1335,True
3243,False
4580,True
1008,False
2355,False
2032,True
2931,False
4713,False
3570,False
1837,True
5293,True
5196,False
2037,True
1426,False
1120,False
321,False
385,False
2192,False
2839,False
4207,True
2126,True
3970,True
2174,True
5549,True
4038,False
1301,False
4124,True
5053,True
1330,True
4299,False
1399,True
3784,False
4465,True
3689,True
5201,True
3732,False
1420,False
2249,False
1848,True
2750,False
2943,False
2354,True
1721,True
2282,False
4305,True
1231,False
2520,False
3112,True
5215,False
396,False
5574,True
2228,True
4939,True
2159,False
2654,True
1546,True
2785,True
1535,False
3404,False
4120,True
4800,False
3242,False
4515,True
613,False
290,False
3068,False
186,True
990,False
1989,False
5068,True
3181,True
3847,True
4464,False
1919,False
5401,False
4398,False
5332,False
239,True
1352,True
650,True
1501,True
1559,False
1331,True
4625,False
487,False
5048,True
3833,True
4133,True
1772,True
730,False
2445,True
1678,False
2451,True
345,True
1313,True
4820,True
4160,True
3251,False
3884,True
4050,True
2752,True
3080,False
92,False
1333,True
2967,False
5250,False
3448,False
913,False
3814,True
794,True
960,False
3253,False
392,False
5270,False
268,True
3225,True
342,False
5324,True
5209,True
4759,False
4872,True
3691,True
702,True
1774,True
2156,False
1077,False
4088,False
4494,True
5364,False
893,False
695,True
2101,False
3352,False
2854,False
3480,True
2837,False
3830,True
4152,True
4408,True
1525,True
443,True
1650,True
4222,False
1988,False
2778,True
2089,True
2243,True
3066,True
3581,False
2781,True
5366,False
1653,True
430,True
1195,False
3934,False
2712,True
495,False
1437,False
1684,False
5563,True
3986,True
2084,False
4446,False
3769,False
3390,False
4790,True
1891,True
4192,True
1268,False
5560,True
5291,True
1739,True
1128,True
54,True
2545,True
5483,True
2457,True
1963,True
2227,True
5545,True
4097,False
2345,True
632,False
577,True
5258,False
5387,True
2617,False
2039,True
787,False
1080,False
3493,True
233,True
4609,True
2241,True
4519,True
2157,True
1855,True
3179,True
5132,True
4215,False
3118,True
784,True
2471,False
4008,False
2097,True
1675,False
785,True
4352,False
524,True
714,True
5037,False
686,False
5244,False
5451,False
500,False
4771,False
1621,True
